Map tasks: 2, Reduce tasks: 2, Workers: 2, Time: 0.5823099613189697
Map tasks: 2, Reduce tasks: 2, Workers: 2, Time: 0.8810441493988037
Map tasks: 2, Reduce tasks: 2, Workers: 2, Time: 0.7378871440887451
Map tasks: 3, Reduce tasks: 2, Workers: 2, Time: 0.6060779094696045
Map tasks: 3, Reduce tasks: 2, Chunk Size: 100000, Workers: 2, Time: 0.7452716827392578
Map tasks: 3, Reduce tasks: 2, Chunk Size: 100000, Workers: 2, Time: 0.33243799209594727
Map tasks: 3, Reduce tasks: 2, Chunk Size: 100000, Workers: 2, Time: 0.7308211326599121
Map tasks: 3, Reduce tasks: 2, Chunk Size: 100000, Workers: 2, Time: 1.2149558067321777
Map tasks: 3, Reduce tasks: 2, Chunk Size: 100000, Workers: 2, Time: 0.5809841156005859
Map tasks: 3, Reduce tasks: 2, Chunk Size: 100000, Workers: 2, Time: 0.3176310062408447
Map tasks: 3, Reduce tasks: 2, Chunk Size: 100000, Workers: 2, Time: 0.32816004753112793
Map tasks: 3, Reduce tasks: 2, Chunk Size: 100000, Workers: 2, Time: 0.29726314544677734
Map tasks: 5, Reduce tasks: 5, Chunk Size: 100000, Workers: 2, Time: 0.9127120971679688
Map tasks: 5, Reduce tasks: 5, Chunk Size: 100000, Workers: 2, Time: 1.3842847347259521
Map tasks: 5, Reduce tasks: 5, Chunk Size: 100000, Workers: 2, Time: 1.0645031929016113
Map tasks: 5, Reduce tasks: 5, Chunk Size: 100000, Workers: 2, Time: 1.228957176208496
Map tasks: 2, Reduce tasks: 2, Chunk Size: 1000000, Workers: 2, Time: 1.4228999614715576
Map tasks: 5, Reduce tasks: 2, Chunk Size: 1000000, Workers: 2, Time: 0.3825359344482422
Map tasks: 2, Reduce tasks: 5, Chunk Size: 1000000, Workers: 2, Time: 1.5244967937469482
Map tasks: 2, Reduce tasks: 10, Chunk Size: 1000000, Workers: 2, Time: 1.5497207641601562
Map tasks: 5, Reduce tasks: 5, Chunk Size: 1000000, Workers: 2, Time: 2.9445366859436035
Map tasks: 2, Reduce tasks: 5, Chunk Size: 1000000, Workers: 2, Time: 1.0107438564300537
Map tasks: 6, Reduce tasks: 6, Chunk Size: 1000000, Workers: 2, Time: 1.2976586818695068
Map tasks: 6, Reduce tasks: 6, Chunk Size: 1000000, Workers: 2, Time: 0.791999101638794
Map tasks: 6, Reduce tasks: 6, Chunk Size: 1000000, Workers: 2, Time: 0.5661628246307373
Map tasks: 6, Reduce tasks: 3, Chunk Size: 1000000, Workers: 2, Time: 0.46920299530029297
Map tasks: 6, Reduce tasks: 3, Chunk Size: 1000000, Workers: 2, Time: 1.6170482635498047
Map tasks: 6, Reduce tasks: 3, Chunk Size: 1000000, Workers: 2, Time: 0.7142448425292969
Map tasks: 6, Reduce tasks: 3, Chunk Size: 1000000, Workers: 2, Time: 1.809081792831421
Map tasks: 6, Reduce tasks: 3, Chunk Size: 1000000, Workers: 2, Time: 0.8861501216888428
Map tasks: 6, Reduce tasks: 3, Chunk Size: 1000000, Workers: 2, Time: 0.4582250118255615
Map tasks: 6, Reduce tasks: 3, Chunk Size: 1000000, Workers: 2, Time: 0.49152493476867676
Map tasks: 6, Reduce tasks: 3, Chunk Size: 1000000, Workers: 2, Time: 0.8447401523590088
Map tasks: 6, Reduce tasks: 4, Chunk Size: 1000000, Workers: 2, Time: 0.8609211444854736
Map tasks: 6, Reduce tasks: 5, Chunk Size: 1000000, Workers: 2, Time: 2.6950929164886475
Map tasks: 6, Reduce tasks: 5, Chunk Size: 1000000, Workers: 2, Time: 0.8139541149139404
Map tasks: 6, Reduce tasks: 5, Chunk Size: 1000000, Workers: 2, Time: 1.1295249462127686
Map tasks: 6, Reduce tasks: 6, Chunk Size: 1000000, Workers: 2, Time: 1.3932640552520752
Map tasks: 6, Reduce tasks: 7, Chunk Size: 1000000, Workers: 2, Time: 1.0227701663970947
Map tasks: 2, Reduce tasks: 2, Chunk Size: 1000000, Workers: 2, Time: 0.7832357883453369
Map tasks: 2, Reduce tasks: 2, Chunk Size: 1000000, Workers: 2, Time: 1.174307107925415
